run_id,dataset,model,protected,method,repeat,n_idi,n_test,cov1,cov2,cov3,cov4,cov5,div50,div100,div200,div500,div1000,div2000,div3000,div5000,real_time,cpu_time,partition_real,partition_cpu,generation_real,generation_cpu,n_regions
aft-GBDT-Adult-sex-1200-0,Adult,GBDT,sex,aft,0,2366191,3090002,1,2979,138352,586008,1191437,10.3058,10.2717,10.2493,10.2504,10.1948,10.207,10.209,10.2143,1200.37,1200.34,,,,,
aft-GBDT-Adult-sex-1200-1,Adult,GBDT,sex,aft,1,2217956,2972712,1,3050,134396,529652,1178857,10.3058,10.2899,10.258,10.2451,10.2475,10.2413,10.2483,10.2503,1201.83,1201.77,,,,,
aft-GBDT-Adult-sex-1200-2,Adult,GBDT,sex,aft,2,1585763,2604856,1,3145,156152,569929,1009152,10.2824,10.3006,10.3123,10.3081,10.3152,10.3057,10.3162,10.3074,1200.4,1200.36,,,,,
aft-GBDT-Adult-sex-1200-3,Adult,GBDT,sex,aft,3,2380417,3064707,1,3159,138789,669420,1458840,10.182,10.1727,10.1698,10.1802,10.1644,10.1679,10.1683,10.1704,1200.68,1200.65,,,,,
aft-GBDT-Adult-sex-1200-4,Adult,GBDT,sex,aft,4,2091466,2918298,1,3041,143565,611686,1299538,10.1752,10.1465,10.0887,10.0943,10.0765,10.0936,10.089,10.0932,1200.21,1200.18,,,,,
expga-GBDT-Adult-sex-1200-0,Adult,GBDT,sex,expga,0,752719,1471105,1,2666,45252,155108,455758,9.2349,9.1962,9.1661,9.2229,9.2114,9.1954,9.189,9.1938,1200.06,1200.01,,,,,
expga-GBDT-Adult-sex-1200-1,Adult,GBDT,sex,expga,1,746896,1466173,1,2275,54382,188365,472882,9.5396,9.5036,9.5081,9.5229,9.5053,9.495,9.4854,9.4893,1200.06,1200.02,,,,,
expga-GBDT-Adult-sex-1200-2,Adult,GBDT,sex,expga,2,763988,1484697,1,2024,38741,140150,452034,9.0953,9.0717,9.0652,9.0825,9.0899,9.0889,9.0846,9.0872,1200.11,1200.03,,,,,
expga-GBDT-Adult-sex-1200-3,Adult,GBDT,sex,expga,3,759722,1482189,1,2075,41839,153573,460823,9.1698,9.181,9.1785,9.1865,9.1848,9.1756,9.1845,9.1869,1200.14,1200.04,,,,,
expga-GBDT-Adult-sex-1200-4,Adult,GBDT,sex,expga,4,759580,1471334,1,2017,36452,137584,447996,9.0828,9.0882,9.0919,9.074,9.0905,9.0855,9.0733,9.0759,1200.1,1200.02,,,,,
grft-GBDT-Adult-sex-1200-0,Adult,GBDT,sex,grft,0,6346325,34821473,1,1008,14252,59689,158210,9.4984,9.6129,9.5188,9.5171,9.5195,9.5255,9.5469,9.554,1220.36,1219.92,,,,,
grft-GBDT-Adult-sex-1200-1,Adult,GBDT,sex,grft,1,6092080,36437800,1,920,12055,52805,142947,9.2919,9.4638,9.3271,9.399,9.374,9.4028,9.3897,9.3913,1217.93,1217.5,,,,,
grft-GBDT-Adult-sex-1200-2,Adult,GBDT,sex,grft,2,5873579,34367241,1,1094,14449,60399,156569,9.5251,9.5994,9.5176,9.5335,9.5219,9.5585,9.5251,9.5331,1218.88,1218.4,,,,,
grft-GBDT-Adult-sex-1200-3,Adult,GBDT,sex,grft,3,5435116,36235400,1,929,11963,54306,138749,9.3141,9.4,9.3578,9.3805,9.3819,9.3469,9.3408,9.3365,1217.05,1216.59,,,,,
grft-GBDT-Adult-sex-1200-4,Adult,GBDT,sex,grft,4,5893318,37503825,1,1039,12585,54715,147305,9.3868,9.4476,9.4437,9.3893,9.4244,9.3762,9.3975,9.4103,1219.99,1219.5,,,,,
