dataset,model,protected,method,repeats,n_idi,n_test,prec,cov1,cov2,cov3,cov4,cov5,div50,div100,div200,div500,div1000,div2000,div3000,div5000,real_time,cpu_time,partition_real,partition_cpu,generation_real,generation_cpu,n_regions,n_idi_std,cov2_std,cov3_std,cov4_std,cov5_std,div5000_std
Adult,GBDT,sex,aft,5,2128358.6,2930115.0,0.726374,1.0,3074.8,142250.8,593339.0,1227564.8,10.2502,10.2363,10.2156,10.2156,10.1997,10.2031,10.2062,10.2071,1200.7,1200.66,,,,,,325536.6457,75.7509,8423.9698,51919.9783,165869.0587,0.0811
Adult,GBDT,sex,expga,5,756581.0,1475099.6,0.512902,1.0,2211.4,43333.2,154956.0,457898.6,9.2245,9.2081,9.202,9.2178,9.2164,9.2081,9.2034,9.2066,1200.09,1200.02,,,,,,6753.4769,274.8732,7007.6676,20242.9067,9618.8822,0.1672
Adult,GBDT,sex,grft,5,5928083.6,35873147.8,0.165251,1.0,998.0,13060.8,56382.8,148756.0,9.4033,9.5047,9.433,9.4439,9.4443,9.442,9.44,9.445,1218.84,1218.38,,,,,,335043.7064,73.8952,1203.0421,3426.2271,8461.8411,0.0942
Adult,GBDT,sex,limi,5,14481.0,440883.0,0.032845,1.0,119.0,624.0,1239.0,2020.0,6.6973,6.7888,6.7432,6.7482,6.7093,6.7089,6.7105,6.7103,593.49,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult,GBDT,sex,sg,5,790.0,7183.6,0.109973,1.0,10.6,39.8,93.2,158.8,4.9259,4.8901,4.8796,4.8854,4.8768,4.8768,4.8768,4.8768,1200.33,1200.11,,,,,,74.7462,0.8944,5.7619,6.14,18.86,0.2883
Adult,GBDT,sex,regionft,5,9024404.2,62068691.0,0.145394,1.0,3827.0,314948.8,2940858.6,6861575.8,11.1357,11.1568,11.164,11.1548,11.155,11.155,11.1522,11.151,1200.03,1200.01,94.37,94.36,1105.67,1105.65,851.8,423841.3065,34.6987,1528.6995,70714.2395,249278.4713,0.0087
Adult,GBDT,race,aft,5,887981.0,1653112.8,0.537157,1.0,2871.4,56975.0,188722.4,428438.0,10.0748,10.0638,10.077,10.0735,10.0672,10.067,10.0642,10.0645,1200.53,1200.5,,,,,,218512.3627,97.5208,4026.8378,7255.4983,41721.5065,0.0615
Adult,GBDT,race,expga,5,195261.4,423365.0,0.461213,1.0,947.0,15949.2,39920.4,87015.2,9.3602,9.3539,9.3735,9.3649,9.3654,9.3639,9.3656,9.3626,1200.07,1200.01,,,,,,8732.6326,70.7743,2666.1293,4269.961,2515.5495,0.095
Adult,GBDT,race,grft,5,4264382.0,26425835.8,0.161372,1.0,770.0,7301.4,27180.4,67913.8,9.1551,9.1805,9.1479,9.1611,9.1381,9.1654,9.1535,9.1619,1215.46,1214.93,,,,,,151889.6807,51.7929,473.5492,2221.0369,6409.2219,0.0446
Adult,GBDT,race,limi,5,8150.0,421918.0,0.019317,1.0,98.0,444.0,804.0,1188.0,6.5745,6.7373,6.6977,6.6736,6.6966,6.7041,6.6944,6.6828,1066.92,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult,GBDT,race,sg,5,304.4,7721.4,0.039423,1.0,11.8,32.8,64.2,79.0,5.5278,5.4645,5.4974,5.4947,5.492,5.492,5.492,5.492,1200.05,1200.06,,,,,,209.0103,1.7889,10.6864,29.8781,44.7381,0.5274
Adult,GBDT,race,regionft,5,2997098.0,36973214.4,0.081061,1.0,3512.8,170654.6,898303.4,1938539.2,10.7621,10.7484,10.7663,10.7464,10.7429,10.7431,10.7468,10.7449,1200.02,1200.01,111.4,111.4,1088.61,1088.61,838.8,192890.7029,312.8789,9081.4263,25995.7161,54456.9125,0.0729
Adult,GBDT,age,aft,5,2505608.8,2566293.8,0.976353,1.0,3854.8,138782.0,630108.6,1602713.6,10.2507,10.1937,10.1862,10.2051,10.2058,10.1951,10.2004,10.2057,1202.05,1201.96,,,,,,129555.7725,100.7829,12897.5908,76354.8994,158067.9524,0.1619
Adult,GBDT,age,expga,5,300272.2,343184.0,0.87496,1.0,2227.6,78136.0,197219.2,252617.2,10.4247,10.4302,10.4381,10.4171,10.4174,10.4134,10.4119,10.4135,1200.08,1200.06,,,,,,6061.4528,108.6292,1174.8649,2692.7853,5194.9905,0.0377
Adult,GBDT,age,grft,5,4377035.6,18929007.2,0.231234,1.0,909.8,9310.0,38590.6,96382.2,9.6117,9.5497,9.5984,9.5654,9.5727,9.5647,9.5679,9.5663,1221.0,1220.48,,,,,,526027.0846,74.9613,733.507,3863.3233,8941.6914,0.1715
Adult,GBDT,age,limi,5,86704.0,336288.0,0.257827,1.0,220.0,1254.0,2784.0,5250.0,6.9296,6.9013,6.9167,6.9155,6.889,6.9006,6.8832,6.9025,1303.54,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult,GBDT,age,sg,5,5531.2,8151.4,0.678558,1.0,319.2,1086.8,2067.2,2643.2,8.4097,8.3874,8.4186,8.4219,8.4102,8.4185,8.4313,8.4228,1200.09,1200.1,,,,,,131.5568,31.9797,143.1876,173.4321,148.2285,0.3638
Adult,GBDT,age,regionft,5,14027653.4,20122611.8,0.697109,1.0,4096.0,352678.0,4388219.0,11886986.0,11.4859,11.4698,11.4693,11.4703,11.469,11.4693,11.47,11.4704,1200.04,1200.01,166.94,166.94,1033.1,1033.06,926.6,193483.6435,0.0,582.8516,35107.9521,153189.0945,0.0009
Adult,MLP,sex,aft,5,161842.6,2284625.4,0.07084,1.0,2454.0,79254.4,149663.0,160274.6,10.9123,10.9182,10.9169,10.9162,10.918,10.9158,10.9162,10.9162,1200.14,1200.11,,,,,,4884.0234,49.8147,994.4965,3681.5326,4686.9587,0.0092
Adult,MLP,sex,expga,5,769114.6,2879504.4,0.2671,1.0,1947.6,30260.8,96440.2,215277.2,10.391,10.3471,10.3519,10.3703,10.3708,10.3645,10.3651,10.3686,1200.06,1200.01,,,,,,67222.3566,45.6048,2988.7688,8755.1082,16098.5158,0.1271
Adult,MLP,sex,grft,5,7870620.4,36247354.4,0.217136,1.0,815.2,15256.8,84444.2,247372.4,9.7331,9.7411,9.783,9.7552,9.7536,9.7563,9.749,9.7648,1231.73,1231.25,,,,,,423061.5686,61.2919,1601.7886,8277.6855,20474.6239,0.1503
Adult,MLP,sex,limi,5,44766.0,400363.0,0.111814,1.0,186.0,1401.0,3365.0,6040.0,7.4016,7.4423,7.3789,7.4046,7.3894,7.3723,7.3674,7.3754,389.94,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Adult,MLP,sex,sg,5,1554.4,6368.2,0.244088,1.0,46.6,139.6,231.8,348.6,6.4187,6.2702,6.2743,6.2893,6.3021,6.2978,6.2978,6.2978,1200.13,1200.12,,,,,,100.3459,10.9909,32.5929,52.6517,105.5997,0.3618
Adult,MLP,sex,regionft,5,2208600.6,60589481.6,0.036452,1.0,3048.6,207924.0,1299980.0,2006658.0,11.4452,11.4471,11.4504,11.4533,11.4527,11.4521,11.4531,11.4528,1200.01,1200.0,89.97,89.97,1110.04,1110.03,951.2,59373.5123,1.8166,2869.8321,16289.1118,43467.6908,0.0016
