metric,baseline,n_tasks,regionft_mean,baseline_mean,wins,ties,losses,A12,wilcoxon_p
n_idi,AFT,32,14494879.88,1360029.47,32,0,0,1,4.657e-10
n_idi,ExpGA,32,14494879.88,659027.31,32,0,0,1,4.657e-10
n_idi,GRFT,32,14494879.88,7337107.7,22,0,10,0.6875,3.582e-02
n_idi,LIMI,32,14494879.88,91479.86,32,0,0,1,4.657e-10
n_idi,SG,32,14494879.88,2850.56,32,0,0,1,4.657e-10
coverage_k3,AFT,32,2609618.19,418606.83,32,0,0,1,4.657e-10
coverage_k3,ExpGA,32,2609618.19,26212.72,32,0,0,1,4.657e-10
coverage_k3,GRFT,32,2609618.19,124688.64,32,0,0,1,4.657e-10
coverage_k3,LIMI,32,2609618.19,2890.11,32,0,0,1,4.657e-10
coverage_k3,SG,32,2609618.19,805.11,32,0,0,1,4.657e-10
diversity_n1000,AFT,32,11.7146,11.1137,30,0,2,0.9375,2.002e-08
diversity_n1000,ExpGA,32,11.7146,9.6433,32,0,0,1,4.657e-10
diversity_n1000,GRFT,32,11.7146,10.395,32,0,0,1,4.657e-10
diversity_n1000,LIMI,32,11.7146,7.601,32,0,0,1,4.657e-10
diversity_n1000,SG,32,11.7146,7.4924,32,0,0,1,4.657e-10
