run_id,dataset,model,protected,method,repeat,n_idi,n_test,cov1,cov2,cov3,cov4,cov5,div50,div100,div200,div500,div1000,div2000,div3000,div5000,real_time,cpu_time,partition_real,partition_cpu,generation_real,generation_cpu,n_regions
regionft_d10-GBDT-Adult-sex-d5000000-0,Adult,GBDT,sex,regionft_d10,0,739516,5000000,1,3740,209087,594840,718140,11.1881,11.1954,11.1805,11.1818,11.1687,11.1708,11.1803,11.1846,195.18,195.17,106.69,106.69,88.49,88.48,880
regionft_d10-GBDT-Adult-sex-d5000000-1,Adult,GBDT,sex,regionft_d10,1,785919,5000000,1,3758,206182,618078,760033,11.1967,11.1399,11.1291,11.1269,11.127,11.1265,11.1271,11.1309,181.27,181.26,91.2,91.19,90.07,90.07,825
regionft_d10-GBDT-Adult-sex-d5000000-2,Adult,GBDT,sex,regionft_d10,2,703665,5000000,1,3715,201922,562223,683926,11.1864,11.1018,11.1336,11.1364,11.1473,11.1423,11.138,11.147,197.54,197.53,108.24,108.24,89.29,89.29,880
regionft_d10-GBDT-Adult-sex-d5000000-3,Adult,GBDT,sex,regionft_d10,3,684303,5000000,1,3721,204236,555442,666738,11.1798,11.1432,11.1582,11.1451,11.1767,11.1616,11.1779,11.1676,178.06,178.05,89.06,89.05,89.0,89.0,825
regionft_d10-GBDT-Adult-sex-d5000000-4,Adult,GBDT,sex,regionft_d10,4,717374,5000000,1,3732,206961,583345,697226,11.2147,11.2322,11.1894,11.1945,11.1947,11.1942,11.1952,11.1934,193.59,193.59,105.23,105.23,88.36,88.36,938
regionft_d12-GBDT-Adult-sex-d5000000-0,Adult,GBDT,sex,regionft_d12,0,873011,5000000,1,3763,220018,685776,844275,11.1623,11.2252,11.183,11.1975,11.1867,11.1921,11.1973,11.1915,434.22,434.22,340.85,340.85,93.38,93.38,3355
regionft_d12-GBDT-Adult-sex-d5000000-1,Adult,GBDT,sex,regionft_d12,1,947861,5000000,1,3758,217785,720668,909394,11.1982,11.1473,11.1652,11.1498,11.1494,11.139,11.1528,11.1489,411.18,411.17,319.35,319.33,91.84,91.84,3136
regionft_d12-GBDT-Adult-sex-d5000000-2,Adult,GBDT,sex,regionft_d12,2,838464,5000000,1,3720,216311,657427,811638,11.1006,11.1765,11.1451,11.1602,11.1439,11.1503,11.1482,11.1506,428.24,428.24,335.33,335.33,92.91,92.91,3368
regionft_d12-GBDT-Adult-sex-d5000000-3,Adult,GBDT,sex,regionft_d12,3,807841,5000000,1,3731,214936,637351,782371,11.1589,11.204,11.157,11.1616,11.1624,11.173,11.1697,11.1788,394.06,394.05,303.13,303.13,90.92,90.92,3122
regionft_d12-GBDT-Adult-sex-d5000000-4,Adult,GBDT,sex,regionft_d12,4,857086,5000000,1,3757,219027,674559,828953,11.1615,11.1992,11.2288,11.1893,11.1887,11.1945,11.1959,11.1963,456.11,456.11,365.91,365.91,90.21,90.2,3600
regionft_d2-GBDT-Adult-sex-d5000000-0,Adult,GBDT,sex,regionft_d2,0,259544,5000000,1,3510,137397,241719,257551,11.0586,11.0808,11.0354,11.0331,11.0586,11.0555,11.0399,11.0549,88.17,88.17,1.78,1.78,86.39,86.39,4
regionft_d2-GBDT-Adult-sex-d5000000-1,Adult,GBDT,sex,regionft_d2,1,225626,5000000,1,3640,120211,210020,223878,10.7961,10.7942,10.7768,10.7765,10.7727,10.7811,10.7853,10.7808,80.67,80.67,0.86,0.86,79.8,79.8,4
regionft_d2-GBDT-Adult-sex-d5000000-2,Adult,GBDT,sex,regionft_d2,2,267245,5000000,1,3506,140000,248714,265331,10.9796,10.9868,10.9807,11.0181,10.9888,10.9937,10.9943,10.9823,90.1,90.1,1.78,1.78,88.33,88.33,4
regionft_d2-GBDT-Adult-sex-d5000000-3,Adult,GBDT,sex,regionft_d2,3,266076,5000000,1,3515,141753,248963,264204,11.0575,11.078,11.0605,11.0307,11.0432,11.0489,11.0423,11.0458,82.77,82.77,0.88,0.88,81.89,81.89,4
