dataset,model,protected,max_depth,repeats,n_idi,n_test,cov2,cov3,cov4,cov5,n_regions,partition_cpu,generation_cpu,real_time,cpu_time
Adult,GBDT,race,2,5,143884.2,5000000.0,3126.4,74391.0,128662.0,141307.2,4.0,1.454,151.65,153.112,153.104
Adult,GBDT,race,4,5,189018.6,5000000.0,3331.8,82237.8,157462.8,183007.6,15.8,4.644,150.75,155.396,155.394
Adult,GBDT,race,6,5,256856.8,5000000.0,3376.4,91753.0,197261.8,244314.4,60.2,14.148,156.592,170.742,170.74
Adult,GBDT,race,8,5,325265.0,5000000.0,3430.2,97808.2,231976.8,303998.4,227.0,35.606,153.114,188.724,188.722
Adult,GBDT,race,10,5,393874.0,5000000.0,3457.2,103144.6,261800.2,361384.2,844.8,114.144,155.706,269.862,269.85
Adult,GBDT,race,12,5,478104.0,5000000.0,3479.8,108203.6,295756.2,426821.0,3151.2,388.568,163.052,551.626,551.62
Adult,GBDT,age,2,5,2401494.8,5000000.0,4096.0,330360.2,1720944.6,2328582.4,4.0,1.88,272.998,274.886,274.878
Adult,GBDT,age,4,5,2968534.6,5000000.0,4096.0,340005.6,1983164.8,2861486.2,16.0,5.668,270.674,276.356,276.338
Adult,GBDT,age,6,5,3264332.4,5000000.0,4096.0,338063.6,2087805.4,3129252.8,63.2,18.748,277.912,296.664,296.662
Adult,GBDT,age,8,5,3490372.8,5000000.0,4096.0,338588.2,2185247.2,3334923.0,243.4,53.47,278.592,332.068,332.058
Adult,GBDT,age,10,5,3690071.4,5000000.0,4096.0,340848.8,2281153.0,3518578.4,937.4,178.388,279.146,457.546,457.532
Adult,GBDT,age,12,5,3891082.2,5000000.0,4096.0,342633.6,2375339.8,3703597.2,3561.4,632.016,281.476,913.506,913.494
Adult,DecTree,sex,2,5,437671.4,5000000.0,1755.0,86289.6,342304.2,422138.6,3.4,0.99,67.706,68.696,68.692
Adult,DecTree,sex,4,5,818702.2,5000000.0,1737.4,100375.2,532008.2,757903.4,10.4,2.936,76.342,79.28,79.28
Adult,DecTree,sex,6,5,1481727.4,5000000.0,1725.4,105115.6,758743.2,1297626.4,31.4,5.332,81.604,86.938,86.938
Adult,DecTree,sex,8,5,2112990.2,5000000.0,1749.6,106731.4,928682.6,1794358.0,95.2,13.508,82.148,95.656,95.656
Adult,DecTree,sex,10,5,2797555.2,5000000.0,1753.4,108247.6,1065700.6,2283774.4,268.6,27.152,87.36,114.518,114.514
Adult,DecTree,sex,12,5,3468765.0,5000000.0,1757.2,109254.2,1174938.0,2731834.6,704.6,69.388,87.424,156.818,156.812
Adult,DecTree,race,2,5,411814.8,5000000.0,1053.2,24287.8,135138.2,328595.4,4.0,1.352,129.62,130.98,130.974
Adult,DecTree,race,4,5,2528517.4,5000000.0,1093.2,24449.2,143332.2,981905.2,12.0,3.694,149.082,152.78,152.776
Adult,DecTree,race,6,5,3838333.2,5000000.0,1147.4,27985.8,162877.0,1217264.0,35.4,6.238,149.148,155.39,155.386
Adult,DecTree,race,8,5,4164316.4,5000000.0,1205.0,29568.4,195526.8,1297999.0,101.4,16.686,151.718,168.404,168.404
Adult,DecTree,race,10,5,4301753.4,5000000.0,1266.2,32664.0,224500.2,1358725.4,301.6,36.982,152.118,189.104,189.096
Adult,DecTree,race,12,5,4485688.0,5000000.0,1317.4,36204.0,255343.6,1437746.0,875.0,97.804,151.728,249.538,249.532
Adult,DecTree,age,2,5,4185210.4,5000000.0,4096.0,246992.2,2837906.8,4016726.8,4.0,2.096,244.542,246.646,246.64
Adult,DecTree,age,4,5,4693247.4,5000000.0,4096.0,267386.6,3116568.4,4492421.8,12.0,4.566,239.24,243.814,243.808
Adult,DecTree,age,6,5,4798633.0,5000000.0,4096.0,270025.4,3170703.4,4589684.0,29.6,10.936,249.062,260.004,260.0
Adult,DecTree,age,8,5,4886568.2,5000000.0,4096.0,272815.0,3213971.8,4671199.6,63.6,14.96,239.8,254.76,254.758
Adult,DecTree,age,10,5,4920836.0,5000000.0,4096.0,273018.2,3228871.0,4702679.8,129.6,30.502,252.718,283.224,283.224
Adult,DecTree,age,12,5,4934476.4,5000000.0,4096.0,273047.6,3234352.4,4715201.8,255.8,46.48,245.814,292.308,292.296
Bank,GBDT,age,2,5,1434612.0,5000000.0,32752.2,744435.2,1324057.8,1396229.2,4.0,1.996,276.91,278.912,278.906
Bank,GBDT,age,4,5,1623728.8,5000000.0,32758.6,758384.4,1475220.4,1572819.0,16.0,7.012,273.846,280.862,280.86
Bank,GBDT,age,6,5,2006337.4,5000000.0,32765.0,813618.8,1776841.0,1925079.6,62.2,19.402,269.682,289.084,289.082
Bank,GBDT,age,8,5,2398309.4,5000000.0,32766.0,873544.8,2070388.6,2279401.4,242.2,54.706,271.096,325.804,325.802
Bank,GBDT,age,10,5,2762701.2,5000000.0,32767.6,930519.4,2343109.0,2607299.6,909.0,185.136,272.614,457.758,457.748
Bank,GBDT,age,12,5,3174330.2,5000000.0,32767.2,992542.0,2645054.0,2976184.0,3260.2,615.892,270.18,886.082,886.07
Adult,GBDT,sex,2,5,259836.8,5000000.0,3528.2,136622.8,242029.0,257901.6,4.0,1.412,84.876,86.288,86.288
Adult,GBDT,sex,4,5,419199.4,5000000.0,3639.0,172471.0,372962.6,413560.0,15.8,3.692,83.722,87.42,87.416
Adult,GBDT,sex,6,5,515648.6,5000000.0,3680.4,183349.2,436974.4,505313.8,59.8,11.592,85.6,97.192,97.192
Adult,GBDT,sex,8,5,617900.8,5000000.0,3713.2,193978.0,507112.4,602358.2,227.8,31.542,84.21,115.762,115.756
Adult,GBDT,sex,10,5,726155.4,5000000.0,3733.2,205677.6,582785.6,705212.6,869.6,100.08,89.04,189.128,189.12
