run_id,dataset,model,protected,method,repeat,n_idi,n_test,cov1,cov2,cov3,cov4,cov5,div50,div100,div200,div500,div1000,div2000,div3000,div5000,real_time,cpu_time,partition_real,partition_cpu,generation_real,generation_cpu,n_regions
regionft_d10-GBDT-Adult-sex-d5000000-0,Adult,GBDT,sex,regionft_d10,0,739516,5000000,1,3740,209087,594840,718140,11.1881,11.1954,11.1805,11.1818,11.1687,11.1708,11.1803,11.1846,195.18,195.17,106.69,106.69,88.49,88.48,880
regionft_d10-GBDT-Adult-sex-d5000000-1,Adult,GBDT,sex,regionft_d10,1,785919,5000000,1,3758,206182,618078,760033,11.1967,11.1399,11.1291,11.1269,11.127,11.1265,11.1271,11.1309,181.27,181.26,91.2,91.19,90.07,90.07,825
regionft_d10-GBDT-Adult-sex-d5000000-2,Adult,GBDT,sex,regionft_d10,2,703665,5000000,1,3715,201922,562223,683926,11.1864,11.1018,11.1336,11.1364,11.1473,11.1423,11.138,11.147,197.54,197.53,108.24,108.24,89.29,89.29,880
regionft_d10-GBDT-Adult-sex-d5000000-3,Adult,GBDT,sex,regionft_d10,3,684303,5000000,1,3721,204236,555442,666738,11.1798,11.1432,11.1582,11.1451,11.1767,11.1616,11.1779,11.1676,178.06,178.05,89.06,89.05,89.0,89.0,825
regionft_d10-GBDT-Adult-sex-d5000000-4,Adult,GBDT,sex,regionft_d10,4,717374,5000000,1,3732,206961,583345,697226,11.2147,11.2322,11.1894,11.1945,11.1947,11.1942,11.1952,11.1934,193.59,193.59,105.23,105.23,88.36,88.36,938
regionft_random-GBDT-Adult-sex-d5000000-0,Adult,GBDT,sex,regionft_random,0,97685,5000000,1,3532,73455,94779,97391,11.2057,11.217,11.1903,11.1874,11.1878,11.182,11.1815,11.1876,112.3,112.29,28.45,28.44,83.85,83.85,1024
regionft_random-GBDT-Adult-sex-d5000000-1,Adult,GBDT,sex,regionft_random,1,90576,5000000,1,3545,69427,88165,90342,11.1966,11.1781,11.2021,11.1839,11.2072,11.1973,11.199,11.2008,108.62,108.62,27.96,27.96,80.66,80.66,1024
regionft_random-GBDT-Adult-sex-d5000000-2,Adult,GBDT,sex,regionft_random,2,119464,5000000,1,3534,83051,114790,119017,11.2513,11.2658,11.238,11.2324,11.2342,11.2289,11.2359,11.233,110.59,110.59,26.46,26.46,84.13,84.13,1024
regionft_random-GBDT-Adult-sex-d5000000-3,Adult,GBDT,sex,regionft_random,3,99000,5000000,1,3504,73352,96030,98695,11.2777,11.2755,11.2595,11.248,11.2444,11.2531,11.2493,11.2554,108.71,108.7,27.49,27.49,81.22,81.21,1024
regionft_random-GBDT-Adult-sex-d5000000-4,Adult,GBDT,sex,regionft_random,4,87159,5000000,1,3552,68210,85031,86958,11.2367,11.2165,11.2021,11.2072,11.2051,11.2083,11.2104,11.2075,111.64,111.63,28.0,28.0,83.63,83.63,1024
regionft_d10-MLP-Adult-age-d5000000-0,Adult,MLP,age,regionft_d10,0,2538737,5000000,1,3072,179657,1351628,2324218,11.4896,11.4985,11.4939,11.5005,11.4991,11.5,11.5001,11.4998,529.35,529.33,194.79,194.78,334.56,334.55,993
regionft_d10-MLP-Adult-age-d5000000-1,Adult,MLP,age,regionft_d10,1,2521417,5000000,1,3078,179141,1350577,2310510,11.4968,11.5046,11.5008,11.5012,11.4997,11.5003,11.5008,11.5008,537.92,537.91,205.41,205.4,332.51,332.51,1023
regionft_d10-MLP-Adult-age-d5000000-2,Adult,MLP,age,regionft_d10,2,2546875,5000000,1,3078,180566,1355600,2328789,11.4989,11.498,11.4971,11.499,11.5001,11.4991,11.4997,11.4996,529.89,529.84,199.1,199.07,330.78,330.77,1014
regionft_d10-MLP-Adult-age-d5000000-3,Adult,MLP,age,regionft_d10,3,2553695,5000000,1,3076,180655,1352868,2337934,11.4965,11.5089,11.5019,11.5003,11.5003,11.5003,11.4997,11.5003,518.02,518.02,194.93,194.93,323.09,323.09,1021
