dataset,model,protected,source,repeats,n_idi,n_test,cov2,cov3,cov4,cov5,n_regions,partition_cpu,generation_cpu,real_time,cpu_time
Adult,GBDT,race,gini,5,393874.0,5000000.0,3457.2,103144.6,261800.2,361384.2,844.8,114.144,155.706,269.862,269.85
Adult,GBDT,race,random,5,45036.2,5000000.0,3191.4,35329.4,43427.8,44821.4,1024.0,39.99,137.1,177.094,177.09
Adult,GBDT,age,gini,5,3690071.4,5000000.0,4096.0,340848.8,2281153.0,3518578.4,937.4,178.388,279.146,457.546,457.532
Adult,GBDT,age,random,5,2332457.2,5000000.0,4096.0,324612.6,1651433.4,2262132.4,1024.0,61.108,241.702,302.832,302.814
Adult,DecTree,sex,gini,5,2797555.2,5000000.0,1753.4,108247.6,1065700.6,2283774.4,268.6,27.152,87.36,114.518,114.514
Adult,DecTree,sex,random,5,63359.4,5000000.0,1477.4,36972.4,59121.6,62933.2,1024.0,23.854,66.88,90.736,90.734
Adult,DecTree,race,gini,5,4301753.4,5000000.0,1266.2,32664.0,224500.2,1358725.4,301.6,36.982,152.118,189.104,189.096
Adult,DecTree,race,random,5,132134.6,5000000.0,912.6,19366.0,69924.2,119000.2,1024.0,34.568,115.372,149.942,149.94
Adult,DecTree,age,gini,5,4920836.0,5000000.0,4096.0,273018.2,3228871.0,4702679.8,129.6,30.502,252.718,283.224,283.224
Adult,DecTree,age,random,5,2941978.8,5000000.0,4096.0,268583.2,2204073.0,2859240.6,1024.0,56.3,227.746,284.054,284.046
Bank,GBDT,age,gini,5,2762701.2,5000000.0,32767.6,930519.4,2343109.0,2607299.6,909.0,185.136,272.614,457.758,457.748
Bank,GBDT,age,random,5,1277760.6,5000000.0,32716.8,683421.8,1184502.0,1247341.6,1024.0,65.484,248.146,313.638,313.628
Adult,GBDT,sex,gini,5,726155.4,5000000.0,3733.2,205677.6,582785.6,705212.6,869.6,100.08,89.04,189.128,189.12
Adult,GBDT,sex,random,5,98776.8,5000000.0,3533.4,73499.0,95759.0,98480.6,1024.0,27.67,82.696,110.372,110.366
Adult,MLP,age,gini,5,2528523.8,5000000.0,3075.6,180023.8,1349758.2,2314729.8,1014.6,197.912,330.228,528.16,528.14
Adult,MLP,age,random,5,1062853.4,5000000.0,3086.4,159927.6,750499.2,1020813.2,1024.0,71.596,282.496,354.122,354.094
Credit,GBDT,sex,gini,5,584083.0,5000000.0,153837.6,577149.0,583802.6,583996.8,817.2,74.726,93.028,167.762,167.756
Credit,GBDT,sex,random,5,99018.2,5000000.0,66024.2,98810.2,99010.4,99016.0,1024.0,32.94,86.382,119.326,119.324
Lsac,LogReg,race,gini,5,818298.8,5000000.0,950.4,15159.8,99434.6,344541.0,961.6,118.008,84.09,202.106,202.102
Lsac,LogReg,race,random,5,376067.0,5000000.0,915.2,14665.2,84569.6,235550.4,1024.0,26.204,83.112,109.322,109.32
Adult,MLP,sex,gini,5,201009.8,5000000.0,2867.4,95467.4,185736.2,199015.4,961.8,97.848,96.834,194.686,194.68
Adult,MLP,sex,random,5,72329.6,5000000.0,2783.4,52174.2,70194.6,72107.2,1024.0,28.564,89.95,118.522,118.512
