run_id,dataset,model,protected,method,repeat,n_idi,n_test,cov1,cov2,cov3,cov4,cov5,div50,div100,div200,div500,div1000,div2000,div3000,div5000,real_time,cpu_time,partition_real,partition_cpu,generation_real,generation_cpu,n_regions
regionft_a0-GBDT-Adult-sex-d5000000-0,Adult,GBDT,sex,regionft_a0,0,67160,5000000,1,3647,56629,66294,67050,11.256,11.254,11.2406,11.2505,11.2446,11.2471,11.2487,11.2396,176.79,176.78,95.48,95.48,81.3,81.3,880
regionft_a0-GBDT-Adult-sex-d5000000-1,Adult,GBDT,sex,regionft_a0,1,67225,5000000,1,3637,56650,66321,67139,11.2553,11.2988,11.251,11.2403,11.259,11.2492,11.2449,11.2452,170.81,170.8,91.34,91.33,79.47,79.47,825
regionft_a0-GBDT-Adult-sex-d5000000-2,Adult,GBDT,sex,regionft_a0,2,67325,5000000,1,3641,56801,66422,67216,11.2625,11.2506,11.249,11.2302,11.2412,11.2507,11.2467,11.2517,176.61,176.6,94.36,94.36,82.24,82.24,880
regionft_a0-GBDT-Adult-sex-d5000000-3,Adult,GBDT,sex,regionft_a0,3,67417,5000000,1,3657,56891,66470,67304,11.2518,11.2109,11.2526,11.2297,11.2536,11.2439,11.2454,11.2416,167.29,167.29,87.97,87.96,79.32,79.32,825
regionft_a0-GBDT-Adult-sex-d5000000-4,Adult,GBDT,sex,regionft_a0,4,67195,5000000,1,3622,56639,66261,67110,11.2746,11.2192,11.2418,11.252,11.2478,11.2448,11.2438,11.2444,185.35,185.34,103.02,103.01,82.33,82.33,938
regionft_a0p1-GBDT-Adult-sex-d5000000-0,Adult,GBDT,sex,regionft_a0p1,0,134992,5000000,1,3703,97207,131134,134593,11.1835,11.2699,11.2373,11.2492,11.2414,11.2373,11.2412,11.2384,179.17,179.16,95.92,95.9,83.26,83.26,880
regionft_a0p1-GBDT-Adult-sex-d5000000-1,Adult,GBDT,sex,regionft_a0p1,1,136489,5000000,1,3688,97778,132538,136032,11.1935,11.2164,11.1933,11.2271,11.2238,11.2287,11.2315,11.2274,174.22,174.21,90.7,90.7,83.52,83.52,825
regionft_a0p1-GBDT-Adult-sex-d5000000-2,Adult,GBDT,sex,regionft_a0p1,2,133428,5000000,1,3694,96612,129768,132996,11.1913,11.209,11.2389,11.2571,11.2318,11.2334,11.2429,11.2329,177.33,177.32,94.2,94.19,83.12,83.12,880
regionft_a0p1-GBDT-Adult-sex-d5000000-3,Adult,GBDT,sex,regionft_a0p1,3,134632,5000000,1,3709,97170,130899,134221,11.2247,11.2253,11.2341,11.228,11.23,11.241,11.2334,11.229,172.3,172.29,89.22,89.21,83.08,83.08,825
regionft_a0p1-GBDT-Adult-sex-d5000000-4,Adult,GBDT,sex,regionft_a0p1,4,137532,5000000,1,3699,98725,133618,137092,11.224,11.2357,11.2558,11.2204,11.2315,11.2336,11.2354,11.2348,185.75,185.74,102.93,102.91,82.83,82.83,938
regionft_a0p25-GBDT-Adult-sex-d5000000-0,Adult,GBDT,sex,regionft_a0p25,0,290960,5000000,1,3755,156271,272781,288879,11.2725,11.2395,11.2239,11.2295,11.2271,11.2287,11.2335,11.2327,183.02,183.02,95.94,95.94,87.08,87.08,880
