dataset,model,protected,alpha,repeats,n_idi,n_test,cov2,cov3,cov4,cov5,n_regions,partition_cpu,generation_cpu,real_time,cpu_time
Adult,GBDT,race,0.0,5,28567.8,5000000.0,3343.4,25379.8,28208.4,28512.8,844.8,109.782,143.446,253.238,253.228
Adult,GBDT,race,0.1,5,53446.2,5000000.0,3441.4,42590.6,52026.0,53227.6,844.8,110.176,145.944,256.134,256.116
Adult,GBDT,race,0.25,5,112295.8,5000000.0,3520.6,71128.6,105140.4,111141.2,844.8,110.704,150.33,261.038,261.034
Adult,GBDT,race,0.5,5,217643.4,5000000.0,3526.0,96332.6,185588.0,211705.6,844.8,111.128,151.408,262.538,262.536
Adult,GBDT,race,0.75,5,304925.6,5000000.0,3495.4,102812.4,232428.8,289699.4,844.8,111.152,151.396,262.55,262.55
Adult,GBDT,race,1.0,5,393874.0,5000000.0,3457.2,103144.6,261800.2,361384.2,844.8,114.144,155.706,269.862,269.85
Adult,GBDT,race,2.0,5,831805.4,5000000.0,3251.4,84914.8,283460.4,598332.4,844.8,110.866,158.244,269.112,269.108
Adult,GBDT,race,4.0,5,1479191.6,5000000.0,2517.2,47578.8,211321.4,620660.2,844.8,110.6,159.218,269.826,269.818
Adult,GBDT,race,8.0,5,2696917.4,5000000.0,1227.0,24446.6,97403.8,288160.0,844.8,110.992,158.128,269.13,269.12
Adult,GBDT,race,10.0,5,2927065.2,5000000.0,942.2,15671.2,56498.6,194711.8,844.8,106.84,149.734,256.584,256.574
Adult,GBDT,age,0.0,5,1952705.8,5000000.0,4096.0,326756.8,1513090.6,1908966.0,937.4,176.322,269.526,445.858,445.85
Adult,GBDT,age,0.1,5,2418583.4,5000000.0,4096.0,333810.8,1772122.4,2351169.0,937.4,178.716,274.068,452.796,452.784
Adult,GBDT,age,0.25,5,2869337.4,5000000.0,4096.0,338100.4,1990560.2,2773272.8,937.4,173.086,274.71,447.818,447.798
Adult,GBDT,age,0.5,5,3282524.2,5000000.0,4096.0,340312.0,2159166.0,3153722.8,937.4,173.836,278.4,452.248,452.236
Adult,GBDT,age,0.75,5,3525199.2,5000000.0,4096.0,340920.6,2238503.6,3372658.6,937.4,172.778,278.668,451.46,451.448
Adult,GBDT,age,1.0,5,3690071.4,5000000.0,4096.0,340848.8,2281153.0,3518578.4,937.4,178.388,279.146,457.546,457.532
Adult,GBDT,age,2.0,5,4062855.6,5000000.0,4096.0,338670.6,2325380.8,3833796.0,937.4,176.498,278.83,455.342,455.328
Adult,GBDT,age,4.0,5,4399810.8,5000000.0,4096.0,328848.8,2262452.4,4083375.2,937.4,177.356,267.772,445.148,445.128
Adult,GBDT,age,8.0,5,4667580.8,5000000.0,4096.0,296668.0,2077054.2,4224104.6,937.4,170.816,256.204,427.032,427.02
Adult,GBDT,age,10.0,5,4730835.8,5000000.0,4095.8,280381.4,1997400.0,4239973.4,937.4,168.096,246.694,414.796,414.79
Adult,DecTree,sex,0.0,5,20622.4,5000000.0,1516.6,17592.2,20374.4,20592.6,268.6,27.128,63.702,90.83,90.828
Adult,DecTree,sex,0.1,5,58259.6,5000000.0,1661.8,39261.4,56359.6,58002.2,268.6,27.692,65.166,92.866,92.856
Adult,DecTree,sex,0.25,5,258277.0,5000000.0,1742.0,82269.6,223620.8,253104.8,268.6,26.918,69.498,96.422,96.416
Adult,DecTree,sex,0.5,5,1465430.0,5000000.0,1760.6,107106.4,793841.6,1314115.6,268.6,27.296,76.308,103.614,103.608
Adult,DecTree,sex,0.75,5,2445981.0,5000000.0,1760.6,108427.6,1017045.0,2049206.2,268.6,25.954,79.418,105.37,105.37
Adult,DecTree,sex,1.0,5,2797555.2,5000000.0,1753.4,108247.6,1065700.6,2283774.4,268.6,27.152,87.36,114.518,114.514
Adult,DecTree,sex,2.0,5,3368601.8,5000000.0,1713.8,106870.6,1092061.2,2605088.4,268.6,27.03,84.204,111.236,111.232
Adult,DecTree,sex,4.0,5,3962945.2,5000000.0,1688.4,102987.0,1013015.6,2783872.2,268.6,26.862,85.902,112.766,112.764
Adult,DecTree,sex,8.0,5,4594901.4,5000000.0,1663.4,89329.4,773700.2,2644375.6,268.6,26.562,86.37,112.932,112.928
Adult,DecTree,sex,10.0,5,4748187.8,5000000.0,1637.8,82378.4,672049.4,2518311.6,268.6,25.954,86.404,112.366,112.358
Adult,DecTree,race,0.0,5,20508.0,5000000.0,1004.0,11958.2,19187.8,20311.0,301.6,36.72,116.302,153.032,153.02
Adult,DecTree,race,0.1,5,59884.0,5000000.0,1106.8,19514.4,49173.6,58185.6,301.6,37.228,120.612,157.848,157.844
Adult,DecTree,race,0.25,5,280253.2,5000000.0,1220.2,28325.6,131005.2,245233.8,301.6,37.098,123.526,160.624,160.624
Adult,DecTree,race,0.5,5,1842892.6,5000000.0,1324.8,34521.0,216789.6,955966.4,301.6,35.554,137.408,172.97,172.964
Adult,DecTree,race,0.75,5,3570697.6,5000000.0,1304.8,34492.2,231447.6,1285465.8,301.6,35.654,148.304,183.96,183.956
Adult,DecTree,race,1.0,5,4301753.4,5000000.0,1266.2,32664.0,224500.2,1358725.4,301.6,36.982,152.118,189.104,189.096
Adult,DecTree,race,2.0,5,4906554.2,5000000.0,1094.2,26802.4,199489.6,1380135.6,301.6,35.542,150.292,185.846,185.84
Adult,DecTree,race,4.0,5,4986495.6,5000000.0,991.2,23036.0,185052.0,1368207.0,301.6,36.656,153.536,190.196,190.192
Adult,DecTree,race,8.0,5,4997458.2,5000000.0,911.6,21444.8,179391.0,1361554.2,301.6,35.794,144.102,179.9,179.896
Adult,DecTree,race,10.0,5,4998353.4,5000000.0,889.4,21196.0,178375.0,1360286.0,301.6,35.166,136.808,171.976,171.974
Adult,DecTree,age,0.0,5,2825543.0,5000000.0,4096.0,269150.8,2170406.6,2752190.8,129.6,25.666,237.266,262.938,262.93
Adult,DecTree,age,0.1,5,3948558.0,5000000.0,4096.0,271788.8,2777947.4,3806910.4,129.6,25.752,240.388,266.146,266.14
Adult,DecTree,age,0.25,5,4667750.8,5000000.0,4096.0,272742.2,3116638.4,4471255.4,129.6,25.17,241.23,266.416,266.402
Adult,DecTree,age,0.5,5,4872099.4,5000000.0,4096.0,272955.0,3207037.8,4658326.8,129.6,26.514,248.54,275.064,275.056
Adult,DecTree,age,0.75,5,4903792.4,5000000.0,4096.0,272988.6,3221047.6,4687289.0,129.6,26.24,242.64,268.886,268.882
Adult,DecTree,age,1.0,5,4920836.0,5000000.0,4096.0,273018.2,3228871.0,4702679.8,129.6,30.502,252.718,283.224,283.224
Adult,DecTree,age,2.0,5,4959627.4,5000000.0,4096.0,273095.8,3245527.6,4737750.8,129.6,25.366,243.938,269.308,269.304
Adult,DecTree,age,4.0,5,4985938.4,5000000.0,4096.0,273146.6,3256532.0,4761210.0,129.6,24.288,243.794,268.084,268.078
Adult,DecTree,age,8.0,5,4996272.4,5000000.0,4096.0,273193.2,3260334.8,4770338.8,129.6,25.952,235.794,261.754,261.748
Adult,DecTree,age,10.0,5,4997561.6,5000000.0,4096.0,273206.8,3260700.0,4771333.6,129.6,25.352,225.28,250.638,250.632
Bank,GBDT,age,0.0,5,1162562.2,5000000.0,32739.6,671274.0,1093416.8,1139140.8,909.0,183.768,265.046,448.826,448.814
Bank,GBDT,age,0.1,5,1496858.8,5000000.0,32754.0,764608.4,1382120.8,1457429.4,909.0,184.474,267.344,451.828,451.816
Bank,GBDT,age,0.25,5,1879202.6,5000000.0,32759.0,843766.6,1697403.8,1815660.2,909.0,180.68,263.766,444.454,444.444
Bank,GBDT,age,0.5,5,2293423.2,5000000.0,32763.6,900575.6,2016916.0,2194632.2,909.0,183.272,271.014,454.292,454.29
Bank,GBDT,age,0.75,5,2565834.0,5000000.0,32766.8,922564.6,2212228.4,2437019.2,909.0,184.202,271.75,455.954,455.952
Bank,GBDT,age,1.0,5,2762701.2,5000000.0,32767.6,930519.4,2343109.0,2607299.6,909.0,185.136,272.614,457.758,457.748
Bank,GBDT,age,2.0,5,3233608.2,5000000.0,32767.4,917352.4,2607708.8,2988142.2,909.0,183.454,267.818,451.286,451.278
Bank,GBDT,age,4.0,5,3675674.4,5000000.0,32765.8,862041.6,2756752.6,3279001.6,909.0,183.056,266.492,449.56,449.546
Bank,GBDT,age,8.0,5,4075646.6,5000000.0,32744.4,763785.6,2661115.0,3366610.4,909.0,177.79,258.86,436.658,436.648
Bank,GBDT,age,10.0,5,4209602.4,5000000.0,32689.8,713594.0,2531088.6,3310424.2,909.0,176.802,250.516,427.332,427.316
Adult,GBDT,sex,0.0,5,67264.4,5000000.0,3640.8,56722.0,66353.6,67163.8,869.6,94.428,80.932,175.37,175.362
Adult,GBDT,sex,0.1,5,135414.6,5000000.0,3698.6,97498.4,131591.4,134986.8,869.6,94.582,83.162,177.754,177.744
Adult,GBDT,sex,0.25,5,291909.6,5000000.0,3753.8,156002.6,273368.4,289798.0,869.6,94.59,85.508,180.102,180.098
Adult,GBDT,sex,0.5,5,515920.6,5000000.0,3761.8,196589.0,454709.0,508164.2,869.6,94.218,86.346,180.57,180.562
Adult,GBDT,sex,0.75,5,637194.8,5000000.0,3745.6,204809.0,535707.2,623380.0,869.6,93.694,86.032,179.73,179.73
Adult,GBDT,sex,1.0,5,726155.4,5000000.0,3733.2,205677.6,582785.6,705212.6,869.6,100.08,89.04,189.128,189.12
Adult,GBDT,sex,2.0,5,1022401.8,5000000.0,3667.4,191053.2,656620.0,947803.4,869.6,95.358,88.66,184.026,184.018
Adult,GBDT,sex,4.0,5,1507115.2,5000000.0,3504.4,140884.8,575709.4,1175076.2,869.6,94.046,90.304,184.352,184.348
Adult,GBDT,sex,8.0,5,2014699.4,5000000.0,2709.8,73301.8,338557.4,1058869.2,869.6,94.726,90.384,185.114,185.112
Adult,GBDT,sex,10.0,5,2163690.6,5000000.0,2226.8,55425.8,270085.8,942531.6,869.6,92.968,89.454,182.426,182.42
Adult,MLP,age,0.0,5,668008.0,5000000.0,3099.8,158137.0,558443.6,655109.0,1014.6,197.97,318.624,516.606,516.592
Adult,MLP,age,0.1,5,1026463.6,5000000.0,3099.0,171349.2,785197.6,995467.6,1014.6,197.18,319.594,516.804,516.772
Adult,MLP,age,0.25,5,1501300.6,5000000.0,3092.0,179819.6,1028276.6,1433903.2,1014.6,195.706,317.494,513.21,513.202
Adult,MLP,age,0.5,5,2009921.0,5000000.0,3083.4,182945.4,1224863.2,1884725.0,1014.6,195.362,314.146,509.518,509.506
Adult,MLP,age,0.75,5,2317592.8,5000000.0,3079.4,182236.2,1308952.0,2144732.8,1014.6,195.368,315.488,510.874,510.856
Adult,MLP,age,1.0,5,2528523.8,5000000.0,3075.6,180023.8,1349758.2,2314729.8,1014.6,197.912,330.228,528.16,528.14
Adult,MLP,age,2.0,5,2996217.0,5000000.0,3072.6,168008.8,1374434.2,2651418.8,1014.6,192.998,314.628,507.646,507.624
Adult,MLP,age,4.0,5,3403200.6,5000000.0,3007.6,148088.6,1303846.6,2846214.0,1014.6,189.748,310.396,500.16,500.144
Adult,MLP,age,8.0,5,3772440.8,5000000.0,2713.8,126094.0,1137225.8,2805968.4,1014.6,189.546,300.974,490.536,490.516
Adult,MLP,age,10.0,5,3887537.4,5000000.0,2603.4,118640.8,1060720.0,2714623.2,1014.6,186.266,292.54,478.828,478.804
Credit,GBDT,sex,0.0,5,51733.0,5000000.0,43127.2,51690.4,51730.8,51732.2,817.2,73.726,89.736,163.468,163.46
Credit,GBDT,sex,0.1,5,98075.6,5000000.0,70365.2,97910.0,98068.4,98073.4,817.2,73.448,90.906,164.354,164.354
Credit,GBDT,sex,0.25,5,201774.6,5000000.0,109295.4,201059.6,201753.0,201767.8,817.2,72.854,91.648,164.516,164.506
Credit,GBDT,sex,0.5,5,372203.8,5000000.0,140592.2,369589.0,372106.8,372176.6,817.2,73.918,93.596,167.516,167.51
Credit,GBDT,sex,0.75,5,492044.0,5000000.0,150516.2,487324.0,491853.6,491985.4,817.2,72.65,93.416,166.074,166.07
Credit,GBDT,sex,1.0,5,584083.0,5000000.0,153837.6,577149.0,583802.6,583996.8,817.2,74.726,93.028,167.762,167.756
Credit,GBDT,sex,2.0,5,805233.2,5000000.0,152068.4,789828.2,804548.2,805025.0,817.2,73.376,94.184,167.564,167.562
Credit,GBDT,sex,4.0,5,954594.8,5000000.0,139235.4,925777.8,953250.0,954154.6,817.2,72.788,94.678,167.468,167.466
Credit,GBDT,sex,8.0,5,1060825.4,5000000.0,117118.6,996222.2,1057394.0,1059621.8,817.2,73.842,92.142,165.994,165.98
Credit,GBDT,sex,10.0,5,1093822.2,5000000.0,106996.4,1004333.0,1088784.8,1092004.2,817.2,72.35,91.068,163.426,163.416
Lsac,LogReg,race,0.0,5,234058.4,5000000.0,937.4,14227.2,82051.8,176163.8,961.6,118.748,82.778,201.536,201.524
Lsac,LogReg,race,0.1,5,332409.4,5000000.0,940.8,14543.2,88678.0,224474.4,961.6,117.562,80.974,198.542,198.536
Lsac,LogReg,race,0.25,5,469734.4,5000000.0,946.8,14813.8,93645.4,274879.2,961.6,119.516,84.57,204.098,204.086
Lsac,LogReg,race,0.5,5,636368.8,5000000.0,948.8,15038.2,97240.8,317188.8,961.6,119.164,85.19,204.358,204.352
Lsac,LogReg,race,0.75,5,744260.2,5000000.0,950.8,15126.0,98686.8,335727.4,961.6,118.786,86.3,205.092,205.086
Lsac,LogReg,race,1.0,5,818298.8,5000000.0,950.4,15159.8,99434.6,344541.0,961.6,118.008,84.09,202.106,202.102
Lsac,LogReg,race,2.0,5,1002257.6,5000000.0,946.2,15126.6,99861.6,348086.8,961.6,118.3,88.248,206.554,206.548
Lsac,LogReg,race,4.0,5,1286763.4,5000000.0,935.0,14808.2,95083.6,305843.6,961.6,118.91,90.566,209.486,209.474
Lsac,LogReg,race,8.0,5,1678971.2,5000000.0,858.0,12825.0,70993.0,206162.6,961.6,118.406,88.882,207.3,207.292
Lsac,LogReg,race,10.0,5,1810346.2,5000000.0,787.8,11091.4,61665.8,173339.0,961.6,118.22,89.62,207.852,207.842
Adult,MLP,sex,0.0,5,42633.2,5000000.0,2906.8,36358.6,42208.4,42586.4,961.8,95.214,90.802,186.022,186.02
Adult,MLP,sex,0.1,5,63372.8,5000000.0,2943.0,49914.8,62343.2,63266.6,961.8,93.758,89.914,183.68,183.674
Adult,MLP,sex,0.25,5,95926.8,5000000.0,2957.6,67206.4,93422.8,95638.8,961.8,95.556,92.006,187.566,187.56
Adult,MLP,sex,0.5,5,138215.8,5000000.0,2950.4,83022.6,132379.2,137542.8,961.8,96.204,93.962,190.174,190.166
Adult,MLP,sex,0.75,5,171338.0,5000000.0,2915.6,90989.4,161187.8,170089.0,961.8,95.6,94.986,190.59,190.584
Adult,MLP,sex,1.0,5,201009.8,5000000.0,2867.4,95467.4,185736.2,199015.4,961.8,97.848,96.834,194.686,194.68
Adult,MLP,sex,2.0,5,301020.8,5000000.0,2560.2,99189.0,255378.6,293793.6,961.8,95.132,93.824,188.962,188.954
Adult,MLP,sex,4.0,5,417459.8,5000000.0,2107.2,87904.8,293727.6,389601.8,961.8,96.294,95.658,191.956,191.954
Adult,MLP,sex,8.0,5,564905.4,5000000.0,1978.8,61861.0,246515.6,417446.0,961.8,96.678,96.764,193.444,193.44
Adult,MLP,sex,10.0,5,629816.6,5000000.0,1896.0,50440.0,207701.0,386792.6,961.8,94.534,96.536,191.078,191.076
Adult,MLP,race,0.0,5,117028.4,5000000.0,3029.8,77527.8,113074.2,116494.4,1004.0,136.084,179.702,315.792,315.784
Adult,MLP,race,0.1,5,168983.4,5000000.0,3037.6,96444.0,160692.2,167812.4,1004.0,134.308,180.212,314.524,314.518
Adult,MLP,race,0.25,5,240800.2,5000000.0,3042.8,114115.0,223560.6,238348.8,1004.0,135.112,181.384,316.502,316.494
Adult,MLP,race,0.5,5,329488.0,5000000.0,3041.2,126812.2,295326.8,324324.0,1004.0,134.818,181.716,316.536,316.534
Adult,MLP,race,0.75,5,396814.0,5000000.0,3043.4,131138.0,343058.0,388275.0,1004.0,135.73,183.314,319.048,319.042
Adult,MLP,race,1.0,5,459379.4,5000000.0,3045.0,132273.4,380186.4,445732.4,1004.0,134.95,186.99,321.946,321.942
Adult,MLP,race,2.0,5,716563.2,5000000.0,3030.0,123635.8,457382.6,649138.0,1004.0,134.992,190.744,325.746,325.738
Adult,MLP,race,4.0,5,1233428.2,5000000.0,2873.0,84738.8,402082.6,831389.2,1004.0,136.468,193.08,329.55,329.55
Adult,MLP,race,8.0,5,1693186.4,5000000.0,1882.6,42223.0,250302.0,678581.6,1004.0,135.288,195.014,330.306,330.3
Adult,MLP,race,10.0,5,1801935.6,5000000.0,1609.0,34653.0,209127.8,600804.6,1004.0,132.052,185.406,317.464,317.456
Adult,LogReg,sex,0.0,5,30136.0,5000000.0,1988.0,26901.6,29934.4,30119.6,718.0,64.946,63.35,128.298,128.294
Adult,LogReg,sex,0.1,5,58662.4,5000000.0,2010.2,47246.2,57861.4,58588.2,718.0,62.582,63.254,125.838,125.836
